smiles,pkb
Cc1n[nH]c2c(NCc3ccccc3)ncnc12,4.95
c1ccc2c(c1)CCCN2,4.96
NC(=NO)c1ccccc1,4.97
Cc1cccc2ncccc12,5
O=C([O-])c1c2ccccc2nc2ccccc12,5
OCc1cccnc1,5
CNc1nc(C)nc2c1cnn2C,5
Oc1cccc2cccnc12,5.02
Cc1ccc(N)cc1,5.04
Cc1ccccc1NC1CCCC1,5.07
Cc1cn2nc(-c3ccccc3)ccc2n1,5.09
CN(C)c1ccccc1,5.1
Nc1ccc2[nH]ncc2c1,5.15
Oc1ccc(NCc2ccccc2)cc1,5.17
COc1cccc(NCCS)c1,5.18
Nc1ccc2c(c1)CCCC2,5.2
O=C([O-])CSc1nc2cc3c(cc2[nH]1)CCCC3,5.2
Oc1cccc2ncccc12,5.2
Cc1cnc2c(ccc3cc(C)cnc32)c1,5.23
c1ccc2cc3[nH]cnc3cc2c1,5.24
CC(=O)N1CCNc2ncnc(C)c21,5.26
OCC(O)C(O)C(O)C(O)c1nc2ccccc2[nH]1,5.28
c1ccc(NC2CCCC2)cc1,5.3
O=C([O-])C1OC(Oc2ccc3cccnc3c2)C(O)C(O)C1O,5.32
Nc1ccc2c(c1)CCC2,5.35
CNc1ccc(C)cc1,5.36
CSCc1ccccn1,5.4
c1ccc(CSc2ccncc2)cc1,5.41
Nc1nccs1,5.44
CCCn1cnc2ccccc21,5.46
c1ccc2nc3ccccc3cc2c1,5.48
Nc1ccc2nc(C=Cc3ccccc3)ccc2c1,5.5
Cc1ccnc2ccccc12,5.51
CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,5.52
Nc1ccc(O)cc1,5.54
Cc1ccc(N(C)C)cc1,5.56
OCCCc1cccnc1,5.57
Nc1cccc2cnccc12,5.59
CC(=O)Nc1ccc2cc3ccccc3nc2c1,5.6
Cc1ccc2cccc(O)c2n1,5.63
C=CCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,5.65
CCn1cnc2ccccc21,5.66
C=Cc1ccc(C)nc1,5.67
OCCc1ccncc1,5.68
CCOC(=O)Cc1nc2ccccc2[nH]1,5.7
Nc1ccncn1,5.7
Oc1ccc2ccncc2c1,5.7
OCCCCCc1cccnc1,5.72
CC(C)(C)c1ccccn1,5.72
Cc1cnc2c(O)cccc2c1C,5.8
CSc1ccnc2ccccc12,5.81
Nc1ccc(C(O)(c2ccccc2)c2ccc(N)cc2)cc1,5.83
N#CC1CC2CCN1CC2,5.85
C1CN(CC2CO2)CCO1,5.88
CC(N)=NO,5.9
N#CCCNN,5.91
CNc1ccc(OC)cc1,5.93
CC(C)(C)c1ccncc1,5.95
CSc1ccncc1,5.97
CCc1ccccn1,5.98
c1ccc(-c2nc3cnccc3[nH]2)cc1,6
Cc1nc2cc(C(=O)[O-])ccc2[nH]1,6
CC(C)c1ccncc1,6.02
Nc1cncnc1N,6.03
Cc1cc2nc[nH]c2cc1C,6.04
Cc1cnc2c(c1)c(C)cc1c(C)c(C)cnc12,6.07
Cc1cnc(N(C)C)s1,6.08
CCCCNc1nnc(-c2ccccc2)cc1C,6.1
Cn1cnc2cc(O)ccc21,6.1
C1CCc2c(nnc3c2CCCC3)C1,6.12
CCCN(CCC)c1ccccc1,6.13
c1ccc(Oc2ccncc2)cc1,6.16
CCCCCCCCCCCCCCCC(=O)NC(Cc1c[nH]cn1)C(=O)[O-],6.2
CCOc1ccc2[nH]c(C)nc2c1,6.22
CCOc1ccc2[nH]c(CC)nc2c1,6.27
Nc1cncc2ccccc12,6.28
Nc1cnc2c(N)nc(N)nc2n1,6.3
Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,6.31
Cc1c(Cn2ccnc2)n(C)c2ccc(C(=O)[O-])cc12,6.32
CN(c1ccccc1)C1CCCCC1,6.35
OCc1c[nH]cn1,6.38
COc1ccnc2c1ccc1c(OC)ccnc12,6.45
O=C(CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,6.5
c1cc(N2CCCCC2)ccc1N1CCCCC1,6.5
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,6.54
