smiles,pka
Oc1cc2ccccc2n[nH+]1,0.21
O=C(O)C(F)(F)F,0.23
Cn1cnc2c1c(O)[nH+]c([O-])[n+]2C,0.3
CC(C)CNC(O)=S,0.38
CCCNC(O)=S,0.52
O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],0.65
CCCCNC(O)=S,0.67
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7
Cn1c(C(=O)O)cc(=O)n(C)c1=O,0.8
Cc1cccc(C(=O)O)[nH+]1,0.9
CCNC(O)=S,0.92
O=C(O)c1c(O)cccc1O,1.05
O=C(O)c1cc(-c2ccccc2)n[nH+]c1NCC[NH+]1CCOCC1,1.1
O=C(O)c1c([N+](=O)[O-])cccc1[N+](=O)[O-],1.14
Cc1cc(O)[nH+]c(O)[nH+]1,1.2
O=[N+]([O-])c1cccc(S(=O)O)c1,1.21
O=C(O)C(=O)c1ccccc1,1.22
O=C(O)c1cccc[nH+]1,1.25
NC1=[NH+]C2CC(N1)[NH2+]C2C(=O)O,1.3
Nc1ccc[nH+]c1C(=O)O,1.33
O=C(O)c1c(Cl)cccc1[N+](=O)[O-],1.34
Cc1ccc(C(=O)C(=O)O)cc1C,1.36
C[NH+](C)c1ccccc1C(=O)O,1.4
O=C(O)c1ccc([N+](=O)[O-])c2cccnc12,1.41
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.42
Cc1ccc(C)c(C(=O)C(=O)O)c1,1.45
O=C(O)c1c(Cl)ccc(Cl)c1C(=O)O,1.46
N#Cc1nn[nH]c1C#N,1.47
O=C(O)c1c(Cl)ccc(Cl)c1Cl,1.5
O=C(O)C(Cl)=NO,1.5
O=C(O)c1cc(=O)cco1,1.5
O=C(O)c1cc(=O)cc(-c2ccccc2)o1,1.51
C[NH+]1CSCC1C(=O)O,1.51
Cc1ccc(C(=O)C(=O)O)cc1,1.52
O=C(O)c1c(Cl)cccc1Cl,1.59
O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1.62
CCC#CC#CC#CC(=O)O,1.67
O=C(O)c1c(O)cc(O)cc1O,1.68
O=C1COC(=O)C1[N+](=O)[O-],1.68
[NH3+]C(Cc1ccc[nH+]c1)C(=O)O,1.69
O=C(O)c1cc[nH+]cc1,1.71
O=S(O)c1ccccc1,1.72
C[n+]1ccc(C(=O)O)cc1,1.72
O=C1NS(=O)(=O)c2ccccc21,1.76
O=C(O)c1ccc2ccccc2[nH+]1,1.79
O=C(O)C#CC[NH+]1CCOCC1,1.79
Cc1ccc(S(=O)O)cc1,1.82
Cn1c[nH+]cc1CC([NH3+])C(=O)O,1.84
O=C(O)c1cccc([N+](=O)[O-])c1[N+](=O)[O-],1.85
Cn1cnc2c(O)[nH+]cnc21,1.86
O=S(O)Cc1ccccc1,1.86
O=C(O)c1cccc([N+](=O)[O-])c1O,1.87
Cc1cccc([N+](=O)[O-])c1C(=O)O,1.87
C#CC(=O)O,1.89
O=C(O)C#CCl,1.89
Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(O)[nH+]1,1.9
O=C(O)c1cccc2ccc[nH+]c12,1.9
O=C(O)C#CBr,1.9
N#CC(O)=C(C#N)C#N,1.9
O=C(O)CSc1[nH]c2cc3ccccc3cc2[nH+]1,1.9
CCC#CC#CC(=O)O,1.91
O=C(O)C1CC(O)C[NH2+]1,1.92
[NH3+]C(Cc1ccccc1)c1nnn[nH]1,1.93
CC1SC(C)(C(=O)O)OC1=O,1.94
C=C(C)C1C[NH2+]C(C(=O)O)C1CC(=O)OC,1.95
Cc1ccc(C=CC(=O)C(=O)O)cc1,1.96
COc1c(Cl)ccc(Cl)c1C(=O)O,1.97
O=C(O)C(=O)C=Cc1ccccc1,1.97
CC[NH+](CC)CC(=O)O,1.98
C[NH+](C)CC(=O)O,1.99
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2
CC1CCC2C(C)CCC(C(=O)O)[NH+]2C1,2
[NH3+]CCNC(=S)S,2
C=C(C)C1C[NH2+]C(C(=O)O)C1CC(N)=O,2.01
O=C(O)c1cccc([N+](=O)[O-])c1Cl,2.02
O=C(O)c1ccc[nH+]c1,2.03
Nc1ccc(C(=O)O)c(O)c1,2.05
O=S(O)CCCc1ccccc1,2.05
O=C(O)c1ccc([N+](=O)[O-])o1,2.06
Clc1nnn[nH]1,2.07
Clc1nn[nH]n1,2.07
O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,2.1
O=S(O)CCc1ccccc1,2.1
O=C(O)Cn1nnnc1-c1ccccc1,2.11
O=C(O)C#CSc1ccccc1,2.11
O=C(O)c1cc([N+](=O)[O-])ccc1O,2.12
O=C(O)Cn1ncnn1,2.12
Brc1nnn[nH]1,2.13
O=C1COC(=O)C1Cl,2.13
O=C(O)c1ccc([N+](=O)[O-])cc1Cl,2.14
Cc1nnnn1CC(=O)O,2.16
O=C(O)c1cc([N+](=O)[O-])ccc1Cl,2.17
O=C(O)c1cc(Cl)cc([N+](=O)[O-])c1,2.17
CCCCS(=O)O,2.2
[NH3+]C(Cc1n[nH]c2ccccc12)C(=O)O,2.2
[NH3+]C(Cn1cccn1)C(=O)O,2.2
CCC[NH2+]C(C)C(=O)O,2.21
C[NH2+]C(C)C(=O)O,2.22
CC[NH2+]C(C)C(=O)O,2.22
O=C1COC(=O)C1Br,2.23
Cc1nnn(CC(=O)O)n1,2.23
CC(=O)N1CS(=O)(=O)CC1C(=O)O,2.23
N#CC(Cc1ccccc1)C(=O)O,2.24
O=C(O)/C(I)=C\c1ccccc1,2.24
C[NH2+]CC(=O)O,2.24
[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.25
Cc1n[nH]c(C(=O)O)c1[N+](=O)[O-],2.26
CCS(=O)O,2.27
O=C(O)Cn1cnnn1,2.27
CC1(C)OC(=O)CC2C(C(=O)O)[NH2+]CC21,2.27
CC(C#N)(Cc1ccccc1)C(=O)O,2.29
NC(=O)CN(CC(=O)O)CC(=O)O,2.29
C[n+]1cccc(C(=O)O)c1,2.29
O=C(O)c1cc(I)cc(I)c1O,2.3
Cc1ccc(C)n1-c1ccc(C(=O)O)c(O)c1,2.3
CC(C)(C)C(=O)C(=O)O,2.3
O=C1COC(=O)C1I,2.31
CC[NH2+]CC(=O)O,2.31
CCC[NH2+]CC(=O)O,2.31
CCCC[NH2+]CC(=O)O,2.32
CCCS(=O)O,2.35
CS(=O)O,2.35
CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C1O,2.35
CC(C)[NH2+]CC(=O)O,2.35
CC(C#N)C(=O)O,2.37
Nc1nnnn1CC(=O)O,2.38
O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2o1,2.38
O=C(c1ccccc1)c1cccc([N+](=O)[O-])c1C(=O)O,2.39
CC(C)([NH3+])C(=O)O,2.39
COC(=O)CC1C(C(=O)O)[NH2+]CC1C(C)O,2.4
NC1=[NH+]C(C(=O)O)C(C(O)C[NH3+])N1,2.4
C=C1CC1CC([NH3+])C(=O)O,2.4
Cc1cc(O)[nH+]c2c1CCO2,2.42
O=C(S)c1ccccc1,2.44
CC(=O)C(=O)O,2.45
CC(C)C12C[NH2+]C(C(=O)O)C1CC(=O)O2,2.45
N#CCC(=O)O,2.46
O=C(O)c1cc(Cl)ccc1Cl,2.47
O=C(O)c1ccccc1C(=O)Nc1ccccc1,2.5
[NH3+]C(CCCCN1C(=O)CC([NH3+])C1=O)C(=O)O,2.5
O=C(O)C1CCCC[NH2+]1,2.5
CC(=O)N1CS(=O)CC1C(=O)O,2.5
O=[N+]([O-])c1cc([N+](=O)[O-])c2cn[nH]c2c1O,2.5
