smiles,pkb
O=Cc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.02
O=[N+]([O-])c1ccc2[nH]ncc2c1,0.13
O=S(=O)(Nc1ncccn1)c1ccccc1,0.15
Cn1cc(Cl)cn1,0.16
O=[N+]([O-])c1ccc2[nH]c(C(F)(F)F)nc2c1,0.18
CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,0.18
COc1ccc2c(c1)cc(C)n2C,0.25
CSc1cnc2ccccc2n1,0.26
COc1cnc2ccccc2n1,0.28
Cn1cnc2[nH]c(=O)[nH]c(=S)c21,0.3
COC(=O)c1nc2cc(Cl)ccc2[nH]1,0.3
O=C(Cc1cnccn1)c1ccccc1,0.33
Nc1nnnn1-c1ccc([N+](=O)[O-])cc1,0.34
O=[N+]([O-])c1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.35
Nc1c(Br)cccc1Br,0.36
COc1cccc(Nc2ccccc2)c1,0.37
Sc1cc2ccccc2cn1,0.39
c1cc[nH]c1,0.4
Brc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.4
Clc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.41
O=[N+]([O-])c1cccc2[nH]ncc12,0.42
Nc1nnnn1-c1cccc([N+](=O)[O-])c1,0.47
CN(C)c1ncc([N+](=O)[O-])s1,0.48
Clc1ccccn1,0.49
Cn1c(=O)[nH]c2ncn(C)c2c1=O,0.5
Cc1ccc2c(c1)cc(C)n2C,0.5
Cc1nc2ccccc2n(C)c1=O,0.51
Cn1ncc2ccccc21,0.51
Nc1ccc([N+](=O)[O-])c2ccccc12,0.53
Cn1ccc(=S)c2ccccc21,0.56
Cc1ccc(-c2cnc(-c3ccc(Br)cc3)o2)cc1,0.56
O=Cc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.57
Cc1ccc(-c2cnc(-c3ccc(Cl)cc3)o2)cc1,0.58
CSc1ncccn1,0.59
Cc1ccnc(NS(=O)(=O)c2ccccc2)n1,0.59
Nc1ncc([N+](=O)[O-])s1,0.61
c1ccc2nccnc2c1,0.64
Brc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.65
O=[N+]([O-])c1ccc2cn[nH]c2c1,0.66
Clc1cncc(Cl)c1,0.67
CN(C)c1ccc([N+](=O)[O-])cc1,0.69
Cc1cc(Br)c(N)c(Br)c1,0.69
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,0.7
c1ccc(-c2nc3ccccc3s2)cc1,0.7
Clc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.7
Nc1nnnn1-c1cccc(Cl)c1,0.7
O=[N+]([O-])c1cncnc1,0.72
COc1cnccn1,0.75
COc1ccc(O)c(N=Nc2nc(C)cs2)c1,0.77
O=[N+]([O-])c1ccc2[nH]c(C(F)(F)Cl)nc2c1,0.77
c1ccc(Nc2ccccc2)cc1,0.78
Cn1c(=O)[nH]c(=O)c2[nH]cnc21,0.78
Nc1nnnn1-c1ccc(Cl)cc1,0.78
NC(=S=O)c1ccccc1,0.8
c1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.84
Oc1cccc2nccnc12,0.85
NC(=S)NCc1ccccc1,0.86
Cc1ccc(-c2ncc(-c3ccc(Br)cc3)o2)cc1,0.87
Cn1cnc2[nH]c(=O)[nH]c(=O)c21,0.87
Cc1ccc(-c2ncc(-c3ccc(Cl)cc3)o2)cc1,0.88
Brc1ccccn1,0.9
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1,0.9
O=c1[nH]c(=S)c2[nH]cnc2[nH]1,0.9
CSc1nc(C)cc(=O)n1C,0.9
Cc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.91
Cc1cccc(Nc2ccccc2)c1,0.92
