total_enthalpy,free_energy,homo,lumo,gap
-33.241647,-32.66568148,-0.397257192,-0.26131127,0.137344044
-39.67764838,-39.51033268,-0.36834782,-0.280176992,0.112208039
-43.6926304,-44.04710577,-0.380047071,-0.253598228,0.134141872
-52.96965582,-53.80120968,-0.368834946,-0.265496878,0.105359775
-37.04168641,-36.79067111,-0.366589708,-0.269778497,0.125999425
-37.14058013,-36.81760883,-0.36879422,-0.273524141,0.129762085
-30.24776716,-30.08543626,-0.391645522,-0.313365109,0.086888917
-29.44547999,-29.53598198,-0.372956307,-0.227503542,0.131230751
-29.29522816,-29.42184806,-0.376856758,-0.235305799,0.13376002
-42.59038072,-42.03588058,-0.398019813,-0.302328411,0.094730899
-40.38564725,-39.99065679,-0.434014719,-0.34402774,0.096893697
-30.69934009,-30.3105625,-0.401027162,-0.246624682,0.151119609
-26.18119675,-26.82160886,-0.349593563,-0.237886551,0.138554741
-23.08688805,-17.02665478,-0.369333043,-0.286027359,0.086168509
-37.39473406,-37.09654139,-0.433755319,-0.342434867,0.09922396
-24.47528782,-22.60124264,-0.399857064,-0.286073155,0.106380818
-20.27483402,-14.20349381,-0.443289523,-0.320965308,0.112248512
-36.06706059,-36.40356519,-0.345834399,-0.198839478,0.169789989
-29.90003493,-30.02610721,-0.370680691,-0.261991817,0.130045223
-29.71193807,-27.0495848,-0.364575368,-0.201896105,0.181359503
-30.7795051,-29.91460024,-0.387536725,-0.257756228,0.13165179
-39.31771178,-39.08699104,-0.393786238,-0.217094366,0.1722007
-36.92352669,-36.5014804,-0.431716568,-0.334032376,0.101261334
-41.12262189,-40.68781537,-0.423518028,-0.333600509,0.093368193
-31.05113276,-30.75977803,-0.406161446,-0.292132956,0.115184613
-27.26593816,-23.55199756,-0.383273427,-0.216973838,0.178624789
-27.83148756,-20.85754161,-0.410188123,-0.090657419,0.319514017
-36.31635964,-34.8310996,-0.383626403,-0.24904873,0.137933743
-32.16981996,-30.96236016,-0.368200983,-0.205116037,0.175154384
-36.92962119,-36.76347991,-0.415590073,-0.257454071,0.160901883
-65.40002758,-65.0893428,-0.358907877,-0.25860936,0.112670318
-46.83810916,-47.47205064,-0.34153128,-0.229841879,0.125219602
-34.32308786,-33.63358069,-0.413953901,-0.257559242,0.148428267
-41.36943402,-40.76972694,-0.359111886,-0.215662144,0.14669121
-23.35226002,-23.84932643,-0.411852729,-0.087831717,0.326089524
-32.54047566,-30.44325402,-0.393502954,-0.246004144,0.140150974
-30.05495358,-28.43747283,-0.411268912,-0.274152173,0.128413572
-72.5115114,-72.55014353,-0.38413565,-0.265330257,0.118274739
-25.66654875,-23.93212133,-0.39257215,-0.295168049,0.108015811
-35.84164064,-35.64580634,-0.406756041,-0.319731113,0.082866242
-34.38284702,-34.56017846,-0.449996648,-0.295364939,0.162925234
-33.51086834,-33.02488953,-0.409631703,-0.279378654,0.127041876
-49.55737741,-50.23922193,-0.344910571,-0.226018713,0.138152593
-33.65289949,-32.9342522,-0.393037733,-0.284073474,0.111819254
-36.70980067,-36.7588405,-0.384584782,-0.281696765,0.10579883
-22.06392067,-15.07852048,-0.433112018,-0.278588964,0.138308585
-40.06174807,-39.96606566,-0.381130452,-0.279718134,0.110875619
-35.61696523,-34.98493727,-0.411353919,-0.321936021,0.097661212
-32.63619932,-31.84365462,-0.414528428,-0.33359976,0.09730714
-39.99776344,-39.795775,-0.394863257,-0.289558932,0.106290878
-59.44694286,-59.15557761,-0.362194053,-0.251037478,0.112728378
-29.63871573,-29.24153353,-0.420671447,-0.287456528,0.122254108
-30.94059885,-30.76389512,-0.416431729,-0.314523573,0.116260448
-36.13244604,-35.46871021,-0.346176148,-0.240065186,0.117546743
-27.79517382,-28.04430651,-0.431526113,-0.328995893,0.102761462
-30.44039652,-24.73044423,-0.418446147,-0.251053131,0.163453014
-44.27214382,-43.70216158,-0.42960958,-0.331430315,0.110360052
-70.97495887,-71.12269335,-0.356158042,-0.266195035,0.105547563
-27.2236297,-26.84889991,-0.372605829,-0.317546609,0.063845945
-33.54342866,-33.21415258,-0.410932414,-0.281997277,0.126754007
-64.78135082,-64.63706058,-0.398827408,-0.266197138,0.140732402
-42.49580459,-42.53890435,-0.367279386,-0.222717599,0.161857726
-46.35650505,-45.9604868,-0.432323803,-0.345159527,0.091483536
-74.49607966,-74.73991419,-0.413997373,-0.260209294,0.158130757
-40.79505373,-40.60611118,-0.388174851,-0.305273099,0.080609927
-75.75830771,-76.10996616,-0.382475232,-0.256015748,0.131184907
-48.44327453,-48.25890561,-0.429367517,-0.314726139,0.114523163
-50.13954086,-50.13213929,-0.426965673,-0.29137304,0.132206704
-44.33934841,-43.82757139,-0.432509039,-0.334675865,0.105807606
-44.09468548,-43.66875443,-0.424267579,-0.328847294,0.105679705
-48.20951685,-48.54975928,-0.346587615,-0.223560377,0.15207769
-40.25791209,-39.9189112,-0.433418902,-0.330781002,0.107136141
-36.69882825,-36.44812343,-0.3811223,-0.248693588,0.131131191
-43.14689582,-43.1174682,-0.394435027,-0.262948679,0.133845112
-36.45471797,-36.14643936,-0.392399987,-0.241611918,0.170343629
-54.46533309,-54.75026707,-0.390092646,-0.328868285,0.062146747
-38.61420319,-38.38479749,-0.408772402,-0.077000674,0.330595273
-33.4179655,-32.99849717,-0.397597589,-0.257877587,0.135744929
-40.37548079,-40.07207293,-0.441716645,-0.343842842,0.101260693
-35.42201781,-36.05441174,-0.387005712,-0.251370794,0.144925761
-32.87338612,-32.61857311,-0.412264609,-0.286042298,0.11973329
