total_enthalpy,free_energy,homo,lumo,gap
-48.72401709,-49.03183853,-0.357633266,-0.258456951,0.099206345
-27.55988676,-28.04114188,-0.344258964,-0.202929666,0.135556849
-29.34657092,-28.34120523,-0.365430874,-0.248057803,0.118035147
-29.44450901,-29.54337122,-0.361236063,-0.27494336,0.093751333
-45.36741629,-45.82698684,-0.378889604,-0.32199124,0.056236143
-23.52235736,-23.1954395,-0.36834104,-0.260066268,0.111104325
-38.16437264,-38.1301373,-0.358709083,-0.243812388,0.109368406
-30.02632322,-30.22352761,-0.378448226,-0.28137806,0.097240827
-23.56536431,-23.25338595,-0.345590704,-0.205588507,0.141241382
-37.24947528,-37.36008864,-0.342827117,-0.201340512,0.135172732
-41.89935282,-42.30097559,-0.371693183,-0.277019395,0.092896214
-26.96088282,-26.05719815,-0.337701951,-0.200710704,0.130045048
-26.78467946,-27.35298176,-0.352917567,-0.243797061,0.109590645
-41.24716396,-41.307383,-0.342645489,-0.225115317,0.117752527
-36.47642485,-36.21159071,-0.357141335,-0.215571706,0.138686097
-31.00153239,-31.48092861,-0.34899568,-0.201716616,0.144621932
-51.65356881,-52.42568634,-0.37435675,-0.284012486,0.08296385
-30.00760602,-30.15736236,-0.362354815,-0.274130276,0.095280604
-42.06150965,-42.47471699,-0.354739727,-0.277842787,0.074756287
-33.37121282,-33.99353381,-0.371363943,-0.262932378,0.107532878
-41.50804564,-41.40638509,-0.36568441,-0.245203823,0.114114823
-59.83681852,-59.41556755,-0.388556197,-0.245915187,0.134481754
-33.77044132,-34.10602396,-0.343436208,-0.205439519,0.134326877
-70.4965409,-71.09790323,-0.373734149,-0.295534328,0.079226122
-27.6429954,-28.34255711,-0.348262873,-0.202360001,0.14423622
-26.88656286,-26.51032338,-0.334549281,-0.203384573,0.132486825
-26.21145052,-26.23255835,-0.357829351,-0.262492726,0.102343459
-37.56796309,-37.49252669,-0.368532954,-0.259050285,0.107931661
-15.96199262,-16.44449425,-0.366224517,-0.24222429,0.135018984
-33.19237285,-33.55281361,-0.374371957,-0.231234889,0.13993142
-35.40366521,-36.11947091,-0.362055915,-0.300323811,0.063028995
-49.03904124,-49.64479463,-0.352152801,-0.273111302,0.077949046
-29.43986137,-29.5664223,-0.359008622,-0.272022213,0.09513518
-70.1289015,-70.242167,-0.358446686,-0.25995028,0.095176595
-23.8385463,-23.67616303,-0.34523749,-0.216500783,0.130633928
-30.27633995,-29.54642063,-0.32882458,-0.197199325,0.128013275
-29.99238895,-29.71648085,-0.366027663,-0.248982263,0.118498818
-29.26578418,-29.6083459,-0.359213759,-0.264494618,0.090451198
-48.14790401,-48.57488618,-0.362355051,-0.294913188,0.070241696
-33.46803409,-33.52239633,-0.372918441,-0.272361141,0.098586913
-69.17059709,-69.23353861,-0.359150941,-0.259911886,0.095491172
-30.05027524,-30.27803291,-0.37398351,-0.233869497,0.138522974
-25.6770376,-25.43329067,-0.360731686,-0.260651377,0.104678756
-26.82865738,-26.77097485,-0.367034636,-0.253655467,0.119676053
-43.6926304,-44.04710577,-0.380047166,-0.253598256,0.134141986
-20.48438062,-19.84046013,-0.358125172,-0.246467127,0.111741721
-29.93120595,-30.18530631,-0.363883773,-0.275603962,0.090795522
-36.12453623,-35.73890932,-0.366336325,-0.244840163,0.122825718
-30.1589785,-29.06495972,-0.364260313,-0.240163449,0.119051158
-36.68273999,-36.61776887,-0.36647462,-0.26676807,0.102861053
-32.40317275,-32.53213736,-0.365044824,-0.281044186,0.085789507
-59.15551381,-59.69286402,-0.353956317,-0.221176121,0.130207288
-28.58684934,-29.83685952,-0.363432657,-0.18909587,0.183096776
-32.06412557,-32.94013594,-0.350144493,-0.053447213,0.337434909
-23.17900412,-14.01778713,-0.3542353,-0.190918394,0.156671423
-20.13085708,-15.20662636,-0.369131288,-0.208536467,0.152277071
-31.01318411,-30.27212612,-0.329221282,-0.209872931,0.126668952
