total_enthalpy,free_energy,homo,lumo,gap
-46.29703949,-46.45844103,-0.384025554,-0.267596233,0.114437188
-54.44930815,-54.90123392,-0.388733244,-0.296122797,0.093619402
-53.58183126,-54.27538504,-0.384828056,-0.296397989,0.086350562
-60.95306484,-61.23844278,-0.382726792,-0.28072372,0.103941469
-60.69313686,-61.20432512,-0.388677344,-0.280415754,0.113329208
-42.52678755,-42.9255686,-0.37936781,-0.247675334,0.123991977
-48.71058653,-49.17710598,-0.371203358,-0.283914588,0.096896273
-85.33081878,-85.71036009,-0.388443608,-0.280003256,0.111241674
-69.67183324,-69.92480527,-0.381890808,-0.277602873,0.108032869
-69.2282723,-69.58911396,-0.394986049,-0.318675576,0.075505797
-36.44668535,-36.36472172,-0.391603311,-0.300536603,0.08249978
-85.12290327,-85.83210024,-0.390240635,-0.301645661,0.09937225
