total_enthalpy,free_energy,homo,lumo,gap
-59.85124116,-60.29924028,-0.371746673,-0.290929768,0.083049356
-51.22681718,-51.60452744,-0.355978634,-0.269248689,0.08740696
-61.03478993,-61.54279412,-0.354446159,-0.272578652,0.082794807
-53.58183126,-54.27538504,-0.384828169,-0.296397991,0.086350572
-46.93301343,-47.52985114,-0.351780568,-0.26495685,0.087996262
-51.16890594,-51.69116291,-0.355608809,-0.275088657,0.082950849
-42.51044982,-43.11513121,-0.366949438,-0.262878394,0.103804934
-47.99341328,-48.56874319,-0.362609702,-0.285139278,0.082390976
-61.54754971,-61.85321931,-0.351750542,-0.26592689,0.086772334
-41.69108038,-42.39139209,-0.349554873,-0.241983142,0.107873236
-42.52678563,-42.92557052,-0.379367809,-0.247675334,0.123991977
-48.71058653,-49.17710598,-0.371203358,-0.283914587,0.096896291
-51.1888263,-51.61872409,-0.38198456,-0.295525517,0.083893187
-85.33081878,-85.71038314,-0.388443624,-0.280003256,0.111241679
-64.0433035,-64.50354813,-0.383724188,-0.283385077,0.107049235
-36.44668919,-36.36472172,-0.391603308,-0.300536603,0.082499785
-88.71483526,-89.22740939,-0.370067794,-0.277131162,0.09176697
-82.56996551,-83.17735958,-0.361844659,-0.264888963,0.09725524
-41.1599872,-42.25370783,-0.345584421,-0.253307102,0.120478085
