total_enthalpy,free_energy,homo,lumo,gap
-57.60312271,-57.99408705,-0.402050707,-0.267487399,0.141900027
-46.07885388,-46.40439468,-0.408662398,-0.249112965,0.161200733
-52.99059896,-53.15265153,-0.394080093,-0.223854914,0.165335784
-52.9315287,-53.0230171,-0.392488384,-0.217080605,0.16408975
-64.2410065,-64.30102169,-0.387320728,-0.26081707,0.126036933
-59.14961887,-59.3312681,-0.386916133,-0.218885518,0.155887835
-52.35810019,-52.27858117,-0.364937651,-0.221411348,0.13936837
-58.57111673,-58.50996615,-0.363029449,-0.223074736,0.138240095
-55.81248557,-56.00997241,-0.384780951,-0.232156496,0.151911215
-67.36020942,-67.77806335,-0.381568046,-0.264549538,0.115055001
-62.01618188,-62.38436178,-0.379395468,-0.235558866,0.148909661
-60.35476323,-60.55089715,-0.405013763,-0.231064904,0.166576835
-71.7738529,-71.90565783,-0.400783425,-0.263998713,0.130754229
-66.73236691,-66.79388206,-0.398006427,-0.233927032,0.155711576
-47.60095475,-47.79410314,-0.401200262,-0.275265073,0.125356087
-59.00922456,-59.36294124,-0.397877258,-0.272738597,0.120144394
-54.06824227,-54.29603768,-0.391161098,-0.272500501,0.114178183
-47.30056048,-47.48313259,-0.385427777,-0.267061285,0.126688305
-58.74303705,-59.00721179,-0.382554753,-0.270488809,0.117334179
-53.71075615,-53.90432501,-0.380957313,-0.26505238,0.119371785
