total_enthalpy,free_energy,homo,lumo,gap
-30.44055387,-30.66720505,-0.372959134,-0.279641089,0.105841811
-33.61579132,-28.6089003,-0.449134254,-0.331427477,0.120492207
-39.84308657,-39.84433895,-0.345986645,-0.262628608,0.102589095
-28.80368018,-26.29006697,-0.334394332,-0.243442718,0.097638888
-25.50433435,-22.04721041,-0.333041168,-0.246843919,0.099653844
-56.88697608,-57.41408299,-0.461000448,-0.380303123,0.08584293
-27.96431171,-25.45758609,-0.336779044,-0.244367899,0.102516042
-51.10763083,-50.64895645,-0.449797292,-0.355866852,0.097741117
-41.93012854,-41.25451378,-0.411786107,-0.305073124,0.117791092
-30.69402083,-30.28248797,-0.366726838,-0.271446154,0.126695234
-23.14777937,-17.29520245,-0.333216357,-0.248268642,0.097680719
-34.60238739,-34.16945473,-0.389775077,-0.278089059,0.114702182
-69.95991713,-70.69225291,-0.339949511,-0.264198519,0.091573947
-47.03730125,-46.74598989,-0.449159714,-0.35883299,0.0943988
-28.78480948,-28.9301482,-0.332970224,-0.212102275,0.166098846
-37.34382882,-37.08128666,-0.433748705,-0.339941835,0.087370844
-33.00675524,-32.57098851,-0.41392023,-0.325052362,0.097047924
-27.22575203,-26.73223123,-0.377056685,-0.278771783,0.125718606
-37.68549725,-38.45119318,-0.332646548,-0.219676964,0.119109673
-30.72074762,-30.22607007,-0.342459777,-0.267539415,0.109858544
-41.1575233,-40.76318645,-0.432747349,-0.337830681,0.099051146
-39.62576832,-39.16796551,-0.401167646,-0.311204037,0.094321807
-36.4171032,-36.05372812,-0.347547742,-0.248669656,0.130813774
-46.4577034,-46.46746444,-0.412212736,-0.344303566,0.067846456
-47.15281861,-46.71279973,-0.458578653,-0.3641661,0.096167447
-39.49023081,-39.09734136,-0.403143429,-0.310355938,0.091268239
-45.0900568,-44.53738847,-0.425223032,-0.296127488,0.117021003
-22.86365951,-23.4397148,-0.434890499,-0.336437586,0.109593674
-39.09475573,-38.68953864,-0.41989506,-0.293953606,0.119637408
-27.97125054,-23.63128987,-0.424513929,-0.321645586,0.10280647
-31.34653207,-31.15932738,-0.424252826,-0.316052932,0.114190636
-45.86767043,-46.17709467,-0.403828762,-0.315953861,0.098179861
-30.31127974,-30.50205307,-0.343376634,-0.225026862,0.141265354
-36.3823438,-35.9385803,-0.405225309,-0.316628129,0.094278842
-34.9564444,-34.54626025,-0.418867317,-0.281856322,0.133766635
-47.22969074,-46.72993057,-0.45841095,-0.365590193,0.090866475
-32.91171089,-31.24265996,-0.398988638,-0.295013963,0.093155884
-38.66085226,-38.09097122,-0.391274716,-0.269046329,0.121247222
-33.66300071,-34.01106215,-0.446809888,-0.340934453,0.120228621
-36.15344675,-36.25031128,-0.343591037,-0.230458431,0.134799488
-27.26027349,-26.69026153,-0.382196118,-0.276798837,0.127858738
-27.37413099,-27.05617521,-0.408284003,-0.259121431,0.145038176
-30.73231874,-30.18654297,-0.37120012,-0.282008474,0.114832876
-36.10165113,-36.63830053,-0.427618031,-0.30288158,0.12171138
-36.48112238,-36.4638275,-0.375993772,-0.292169205,0.101268139
-38.32207373,-38.10320726,-0.344864675,-0.238969207,0.131007869
-30.84440314,-30.59267505,-0.39942381,-0.251513129,0.151078819
-37.7727239,-37.99743041,-0.335433542,-0.227036682,0.12989535
-46.95642432,-46.71283814,-0.445704825,-0.351348279,0.089349329
-32.28479427,-32.33921809,-0.355556197,-0.254179313,0.126388205
-30.03959834,-30.08542089,-0.402566475,-0.230377749,0.157115278
-40.99568117,-40.59577238,-0.429983828,-0.33454152,0.095418436
-40.19671757,-39.82336178,-0.426117009,-0.328548712,0.102219913
