total_enthalpy,free_energy,homo,lumo,gap
-50.55092959,-50.85876268,-0.386863538,-0.304728896,0.080079976
-34.3075676,-34.50828474,-0.414188729,-0.320539199,0.095271239
-45.70041118,-46.03198276,-0.377363498,-0.271113976,0.107904753
-21.5106332,-21.64095544,-0.386886039,-0.22581086,0.151631235
-50.44737481,-50.52701275,-0.438357066,-0.331568509,0.106384409
-52.28315274,-52.46997573,-0.355070885,-0.245036811,0.111129372
-37.68426146,-37.46949098,-0.342718931,-0.218678743,0.129556297
-32.84718128,-33.01288393,-0.35822594,-0.297185837,0.061736679
-33.75521273,-33.64709948,-0.353522978,-0.29194509,0.072347532
-35.32574534,-35.55124779,-0.367592507,-0.293907012,0.068779995
-41.84281362,-41.83769591,-0.397326712,-0.296560256,0.103261577
-40.73952388,-40.67283716,-0.365339347,-0.294740057,0.075992737
-43.75858194,-43.98829136,-0.409178284,-0.333972685,0.082983909
-54.87548219,-55.31886273,-0.398836817,-0.324281632,0.073821129
-26.62797237,-26.42716746,-0.378595857,-0.261797119,0.124335703
-41.28287899,-41.48093046,-0.350713706,-0.224581993,0.127782635
-29.41262415,-29.72855559,-0.376328362,-0.281383971,0.093861105
-11.44989005,-13.22329712,-0.35742989,-0.202723181,0.16031651
-47.95860974,-48.50507046,-0.386043372,-0.287719062,0.096536399
-48.56757673,-49.07275591,-0.383113985,-0.283759721,0.098105707
-34.20772593,-34.45072235,-0.405379156,-0.320354459,0.084608861
-43.61000533,-44.05666686,-0.404208752,-0.332065437,0.076697852
-35.07501093,-34.83844276,-0.390150543,-0.313928023,0.089986465
-20.78497638,-20.29321666,-0.389499719,-0.274351515,0.114579356
-39.62970979,-39.41702616,-0.397819015,-0.265449953,0.127427648
-33.53121662,-33.47365188,-0.344262603,-0.210379044,0.13174644
-36.95345808,-36.72008152,-0.371050202,-0.287045776,0.092204686
-26.84163699,-27.2463139,-0.371809143,-0.248733607,0.123485951
-39.49221114,-39.66819911,-0.391633396,-0.306239673,0.082510379
-32.56463109,-32.77333252,-0.312956997,-0.284922159,0.042041724
-51.23426452,-51.62639178,-0.380667329,-0.284763428,0.094668289
-50.58334983,-50.86982351,-0.388987258,-0.302113427,0.08652855
-51.76967337,-52.14077018,-0.378020041,-0.281074646,0.096385276
-23.44715469,-23.20428817,-0.375227596,-0.278777683,0.092772656
-48.96441233,-49.34451813,-0.372273843,-0.26644809,0.111499037
-28.27009624,-28.56886625,-0.410009337,-0.335131868,0.09390462
-26.18856542,-26.65509732,-0.355271177,-0.303128197,0.060305232
-47.95098777,-48.50399127,-0.387360155,-0.286360446,0.100185804
-34.3148173,-34.52221831,-0.414787825,-0.32445221,0.082562383
-24.75829855,-24.74164331,-0.399073624,-0.286703525,0.111332857
-36.62399402,-36.20675159,-0.381928026,-0.294502249,0.088367094
-30.00505769,-30.00665859,-0.371772026,-0.256275573,0.123960696
-43.37990512,-42.65966324,-0.380886751,-0.273276579,0.110533478
-38.38802719,-39.12047693,-0.388249651,-0.284505633,0.102185456
-48.57969858,-49.07717256,-0.384274478,-0.281936737,0.100769585
-37.15892505,-37.37478265,-0.391796243,-0.273249119,0.114075669
-27.43909811,-27.00829104,-0.41937472,-0.358803726,0.060989264
-24.29955267,-23.73049935,-0.363457384,-0.274568474,0.099932292
-49.22555499,-49.11952631,-0.352006893,-0.315581585,0.039688221
-50.36693923,-50.11648899,-0.433444026,-0.330131552,0.105170204
-34.3935623,-34.35609083,-0.353032123,-0.227544881,0.125300901
-36.27904423,-36.13243666,-0.401914214,-0.274743881,0.125817285
-37.25966861,-37.38652709,-0.389937799,-0.271631909,0.11356919
-28.58247035,-28.02148587,-0.377032731,-0.269106991,0.097481422
-44.38010446,-44.90696028,-0.37736947,-0.274842258,0.103483513
-30.37836535,-30.4916605,-0.361432189,-0.299400362,0.06983747
-31.43375872,-30.97090157,-0.333098711,-0.240979516,0.099545652
-51.23028083,-51.63157654,-0.381834228,-0.283258723,0.097407243
-36.22484228,-36.31115736,-0.402656153,-0.272040358,0.130316075
-51.77422698,-52.13944518,-0.379830408,-0.279122156,0.098435635
-20.07761842,-19.61855228,-0.395278732,-0.2822681,0.113414986
-61.80228891,-62.03980261,-0.371055954,-0.271387142,0.107980084
-31.65034011,-32.08226125,-0.369432894,-0.297675964,0.071636409
-34.38763282,-34.27439433,-0.381854631,-0.263138348,0.119897247
-47.68624137,-48.16605611,-0.371851267,-0.272437011,0.101911146
-37.54684724,-37.59157486,-0.350541038,-0.224359664,0.125645298
-29.73943626,-29.99560544,-0.350224275,-0.296431199,0.058216678
-23.80694161,-23.9495575,-0.378556038,-0.264604572,0.118608633
-36.75638833,-36.57626388,-0.391895871,-0.296693015,0.095815221
-44.63333923,-44.26376165,-0.414712393,-0.349674617,0.069506916
-60.71262546,-60.88239936,-0.373819728,-0.310075571,0.071706316
-41.21283439,-41.3801233,-0.405843399,-0.309208334,0.08424981
-31.01243189,-31.16148577,-0.379478784,-0.283246849,0.097118819
-34.81778672,-34.24691125,-0.383681917,-0.249039613,0.133928485
-43.605611,-43.86520701,-0.326669851,-0.223733167,0.105500647
-30.25577291,-30.0641288,-0.407871398,-0.303469327,0.099114912
-34.53015906,-34.17757369,-0.356533945,-0.317674395,0.039616659
-47.68414974,-48.17190145,-0.372094727,-0.271426214,0.10137763
-51.58633736,-52.1259744,-0.371782305,-0.269895867,0.099796536
-48.60262973,-48.85595985,-0.376489631,-0.292546379,0.084156724
-36.36955608,-36.45443732,-0.374389406,-0.241971604,0.12730702
-54.9964397,-55.03936176,-0.377879577,-0.292782012,0.083470368
-36.33612073,-36.5033738,-0.378568379,-0.255496539,0.118643393
-50.88780454,-51.18877283,-0.367758605,-0.268994748,0.100270972
-33.09581638,-33.26597716,-0.378649865,-0.260735566,0.117747603
-37.61780909,-37.62633198,-0.347017609,-0.223411294,0.122762722
-26.91260267,-26.58878612,-0.405974245,-0.344094687,0.068499696
-36.2182642,-36.024897,-0.402983708,-0.27091576,0.12807727
-33.49015162,-33.8897387,-0.37407688,-0.276950661,0.093472977
-25.19333035,-17.0092263,-0.318954983,-0.22122729,0.120452964
-57.71704928,-58.08281082,-0.328786228,-0.270378295,0.073531435
-16.3211578,-16.28663934,-0.370946589,-0.284927218,0.084325693
-36.40665658,-36.47464637,-0.378211025,-0.253555944,0.121770878
-17.40736911,-17.619976,-0.400518128,-0.233545189,0.141669023
-27.35617753,-27.97767271,-0.386253421,-0.268642841,0.116836751
-51.57602506,-52.14036884,-0.370551058,-0.268989557,0.100475048
-54.80219844,-55.18548758,-0.367352386,-0.267102004,0.0978004
-27.4481516,-26.83799271,-0.366498629,-0.26536049,0.102237547
-49.22681956,-49.57707587,-0.375392627,-0.258898791,0.113664921
-49.24641562,-49.6500082,-0.364822139,-0.267684344,0.093594003
-35.52396261,-36.256003,-0.349272042,-0.312507929,0.036602118
-33.86907406,-33.70384767,-0.361068142,-0.287107581,0.080707092
-22.89017905,-23.85951161,-0.376418783,-0.253530409,0.12090632
-54.79087295,-55.18669544,-0.365846317,-0.266715896,0.099353126
-23.52855933,-23.16946192,-0.290531061,-0.278033226,0.039398714
-29.73712588,-29.00696718,-0.385794535,-0.266665102,0.110578074
-37.16130452,-36.85795781,-0.350760453,-0.281215522,0.075000276
-41.39196987,-41.47568424,-0.343738388,-0.223907925,0.120646384
-22.78607737,-23.93740595,-0.393288632,-0.275100527,0.118306036
-19.87361751,-20.30405474,-0.389808932,-0.299829929,0.101054771
-39.69823844,-39.73139177,-0.359372771,-0.23864814,0.126439473
